url,locode,name,subdiv,iso2
https://service.unece.org/trade/locode/ao.htm,AOLAA,Landana (Cacongo),,ao
https://service.unece.org/trade/locode/ao.htm,AOLIE,Lieura,,ao
https://service.unece.org/trade/locode/ao.htm,AOLOB,Lobito,,ao
https://service.unece.org/trade/locode/ao.htm,AOLBT,Lombo Terminal,,ao
https://service.unece.org/trade/locode/ao.htm,AOLAD,Luanda,,ao
https://service.unece.org/trade/locode/ao.htm,AOUAL,Luau,,ao
https://service.unece.org/trade/locode/ao.htm,AOSDD,Lubango,,ao
https://service.unece.org/trade/locode/ao.htm,AOLUC,Lucira,,ao
https://service.unece.org/trade/locode/ao.htm,AOLUO,Luena,,ao
https://service.unece.org/trade/locode/ao.htm,AOLBZ,Lukapa,,ao
https://service.unece.org/trade/locode/ao.htm,AOGGC,Lumbala,,ao
https://service.unece.org/trade/locode/ao.htm,AOLZM,Luzamba,,ao
https://service.unece.org/trade/locode/ao.htm,AOMEG,Malange,,ao
https://service.unece.org/trade/locode/ao.htm,AOMLO,Malembo,,ao
https://service.unece.org/trade/locode/ao.htm,AOMAL,Malongo,,ao
https://service.unece.org/trade/locode/ao.htm,AOMDZ,Maquela Do Zombo,UIG,ao
https://service.unece.org/trade/locode/ao.htm,AOMTL,Matala,HUI,ao
https://service.unece.org/trade/locode/ao.htm,AOSSY,M'banza Congo,,ao
https://service.unece.org/trade/locode/ao.htm,AOSPP,Menongue,,ao
https://service.unece.org/trade/locode/ao.htm,AOMOS,Mocamedes,,ao
https://service.unece.org/trade/locode/ao.htm,AOMSZ,Namibe,,ao
https://service.unece.org/trade/locode/ao.htm,AONDF,N'dalatando,CNO,ao
https://service.unece.org/trade/locode/ao.htm,AOGXG,Negage,,ao
https://service.unece.org/trade/locode/ao.htm,AONQI,NÃ³qui,,ao
https://service.unece.org/trade/locode/ao.htm,AO,Novo Redondo = Sumbe,,ao
https://service.unece.org/trade/locode/ao.htm,AONRQ,N'Riquinha,,ao
https://service.unece.org/trade/locode/ao.htm,AONZA,Nzagi,,ao
https://service.unece.org/trade/locode/ao.htm,AOARZ,N'Zeto,,ao
https://service.unece.org/trade/locode/ao.htm,AONTO,N'Zeto (Ambrizete),,ao
https://service.unece.org/trade/locode/ao.htm,AONGV,Ondjiva,CNN,ao
https://service.unece.org/trade/locode/ao.htm,AOVPE,Ongiva,,ao
https://service.unece.org/trade/locode/ao.htm,AOPAT,Palanca Terminal,,ao
https://service.unece.org/trade/locode/ao.htm,AOPAZ,Pazflor FPSO,,ao
https://service.unece.org/trade/locode/ao.htm,AOPLE,Porto Alexandre (Tombua),,ao
https://service.unece.org/trade/locode/ao.htm,AOPBN,Porto Amboim,,ao
https://service.unece.org/trade/locode/ao.htm,AOPSA,Porto Saco (Portosalazar),,ao
https://service.unece.org/trade/locode/ao.htm,AORSN,River Sao Nicolau,,ao
https://service.unece.org/trade/locode/ao.htm,AO,San Antonio do Zaire = Soyo,,ao
https://service.unece.org/trade/locode/ao.htm,AOSTC,Santa Clara,UIG,ao
https://service.unece.org/trade/locode/ao.htm,AOVHC,Saurimo,,ao
https://service.unece.org/trade/locode/ao.htm,AOSBT,Saxi Batuque FPSO,,ao
https://service.unece.org/trade/locode/ao.htm,AOSTL,Sazaire Terminal,,ao
https://service.unece.org/trade/locode/ao.htm,AOSZA,Soyo,,ao
https://service.unece.org/trade/locode/ao.htm,AOSOQ,Soyo-Quinfuquena Terminal,,ao
https://service.unece.org/trade/locode/ao.htm,AONDD,Sumbe,,ao
https://service.unece.org/trade/locode/ao.htm,AOTAK,Takula Terminal,,ao
https://service.unece.org/trade/locode/ao.htm,AOUGO,UÃ­ge,,ao
